counter_id,ticker,name,date_listed,listing_price
MWAIRT001156,AIRTEL,AIRTEL MALAWI PLC,24-Feb-20,12.69
MWBHL0010029,BHL,BLANTYRE HOTELS PLC,25-Mar-97,0.84
MWFDHB001166,FDHB,FDH BANK PLC,3-Aug-20,10
MWFMB0010138,FMBCH,FMB CAPITAL HOLDINGS PLC,18-Sep-17,45.01
MWICON001146,ICON,ICON PROPERTIES PLC,21-Jan-19,8.75
MWILLV010032,ILLOVO,ILLOVO SUGAR MALAWI PLC,10-Nov-97,2.25
MWMPI0010116,MPICO,MPICO PLC,12-Nov-07,2.25
MWNBM0010074,NBM,NATIONAL BANK OF MALAWI,21-Aug-00,4
MWNBS0010105,NBS,NBS BANK PLC,25-Jun-07,2.6
MWNICO010014,NICO,NICO HOLDINGS PLC,11-Nov-96,2
MWNITL010091,NITL,NATIONAL INVESTMENT TRUST PLC,21-Mar-05,2.65
ZAE000255360,OMU,OLD MUTUAL LIMITED,26-Jun-18,1580.22
MWPCL0010053,PCL,PRESS CORPORATION PLC,9-Sep-09,14.89
MWSTD0010041,STANDARD,STANDARD BANK MALAWI PLC,29-Jun-98,3.25
MWSTL0010085,SUNBIRD,SUNBIRD TOURISM PLC,21-Aug-02,2.6
MWTNM0010126,TNM,TELEKOM NETWORKS MALAWI PLC,3-Nov-08,2
