counter_id,trade_date,open_mwk,high_mwk,low_mwk,close_mwk,volume
MWAIRT001156,2025-09-19,138.54,138.97,137.94,137.98,79004.0
MWBHL0010029,2025-09-19,15.02,15.02,15.02,15.02,7042.0
MWFDHB001166,2025-09-19,637.95,637.95,637.91,637.93,101411.0
MWFMB0010138,2025-09-19,1897.99,1897.99,1897.99,1897.99,15133.0
MWICON001146,2025-09-19,17.94,17.94,17.94,17.94,18168.0
MWILLV010032,2025-09-19,1791.47,,,1791.47,0.0
MWMPI0010116,2025-09-19,19.55,19.55,19.55,19.55,75077.0
MWNBM0010074,2025-09-19,10779.48,10800.01,10800.0,10800.01,80.0
MWNBS0010105,2025-09-19,1024.72,1024.72,1024.7,1024.71,144400.0
MWNICO010014,2025-09-19,1739.94,1739.93,1739.91,1739.92,102670.0
MWNITL010091,2025-09-19,2210.32,2541.87,2541.86,2541.87,3000.0
ZAE000255360,2025-09-19,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-19,6600.0,6600.0,6600.0,6600.0,862.0
MWSTD0010041,2025-09-19,6485.64,6483.5,6481.97,6482.51,4748.0
MWSTL0010085,2025-09-19,460.02,500.05,500.01,500.04,31008.0
MWTNM0010126,2025-09-19,34.84,34.84,29.98,31.35,112308.0
MWAIRT001156,2025-09-18,137.95,138.97,137.96,138.54,1070226.0
MWBHL0010029,2025-09-18,15.02,15.02,15.02,15.02,192958.0
MWFDHB001166,2025-09-18,637.94,637.96,637.92,637.95,300577.0
MWFMB0010138,2025-09-18,1897.97,1897.99,1897.98,1897.99,1939.0
MWICON001146,2025-09-18,17.95,17.94,17.94,17.94,1554.0
MWILLV010032,2025-09-18,1791.47,,,1791.47,0.0
MWMPI0010116,2025-09-18,19.55,19.55,19.55,19.55,590575.0
MWNBM0010074,2025-09-18,9427.0,10800.0,9427.02,10779.48,204312.0
MWNBS0010105,2025-09-18,1024.71,1024.73,1024.7,1024.72,347625.0
MWNICO010014,2025-09-18,1739.96,1739.98,1739.92,1739.94,94047.0
MWNITL010091,2025-09-18,2210.18,2210.32,2210.32,2210.32,106.0
ZAE000255360,2025-09-18,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-18,6600.0,6600.0,6600.0,6600.0,4221.0
MWSTD0010041,2025-09-18,6487.14,6486.0,6483.99,6485.64,11850.0
MWSTL0010085,2025-09-18,460.02,,,460.02,0.0
MWTNM0010126,2025-09-18,34.99,34.99,29.97,34.84,32932.0
MWAIRT001156,2025-09-17,137.96,137.95,137.95,137.95,7509.0
MWBHL0010029,2025-09-17,15.02,,,15.02,0.0
MWFDHB001166,2025-09-17,637.95,637.96,637.88,637.94,934216.0
MWFMB0010138,2025-09-17,1897.96,1897.98,1897.97,1897.97,1538.0
MWICON001146,2025-09-17,17.95,,,17.95,0.0
MWILLV010032,2025-09-17,1791.47,,,1791.47,0.0
MWMPI0010116,2025-09-17,19.54,19.55,19.55,19.55,125721.0
MWNBM0010074,2025-09-17,9426.44,9427.0,9427.0,9427.0,2787.0
MWNBS0010105,2025-09-17,1024.74,1024.73,1024.71,1024.71,141627.0
MWNICO010014,2025-09-17,1739.99,1739.98,1739.78,1739.96,32696.0
MWNITL010091,2025-09-17,1922.0,2210.3,2210.0,2210.18,1250.0
ZAE000255360,2025-09-17,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-17,6600.0,6600.0,6600.0,6600.0,1592.0
MWSTD0010041,2025-09-17,6489.28,6487.5,6486.0,6487.14,7312.0
MWSTL0010085,2025-09-17,460.02,,,460.02,0.0
MWTNM0010126,2025-09-17,34.99,34.99,34.99,34.99,82257.0
MWAIRT001156,2025-09-15,137.96,137.97,137.95,137.96,31024.0
MWBHL0010029,2025-09-15,15.01,15.02,15.01,15.02,1267453.0
MWFDHB001166,2025-09-15,599.99,685.0,599.97,637.95,1292561.0
MWFMB0010138,2025-09-15,1758.44,1897.97,1897.96,1897.96,7010.0
MWICON001146,2025-09-15,17.95,,,17.95,0.0
MWILLV010032,2025-09-15,1791.46,1791.47,1791.47,1791.47,275.0
MWMPI0010116,2025-09-15,19.54,,,19.54,0.0
MWNBM0010074,2025-09-15,9426.44,,,9426.44,0.0
MWNBS0010105,2025-09-15,1024.74,1024.75,1024.73,1024.74,75937.0
MWNICO010014,2025-09-15,1740.0,1740.0,1739.97,1739.99,28044.0
MWNITL010091,2025-09-15,1922.0,1922.0,1922.0,1922.0,83.0
ZAE000255360,2025-09-15,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-15,6600.0,6600.0,6600.0,6600.0,1509.0
MWSTD0010041,2025-09-15,6491.1,6489.5,6487.5,6489.28,11839.0
MWSTL0010085,2025-09-15,460.02,,,460.02,0.0
MWTNM0010126,2025-09-15,34.85,34.99,34.98,34.99,40072.0
MWAIRT001156,2025-09-12,137.97,137.97,137.96,137.96,24229.0
MWBHL0010029,2025-09-12,15.01,,,15.01,0.0
MWFDHB001166,2025-09-12,599.99,600.0,599.97,599.99,363053.0
MWFMB0010138,2025-09-12,1758.42,1758.44,1758.43,1758.44,138225.0
MWICON001146,2025-09-12,17.95,17.95,17.95,17.95,4052.0
MWILLV010032,2025-09-12,1791.44,1791.46,1791.46,1791.46,2413.0
MWMPI0010116,2025-09-12,19.51,19.54,19.54,19.54,46000.0
MWNBM0010074,2025-09-12,9426.38,9426.44,9426.44,9426.44,100.0
MWNBS0010105,2025-09-12,1024.76,1024.76,1024.73,1024.74,178254.0
MWNICO010014,2025-09-12,1740.01,1740.01,1739.99,1740.0,165086.0
MWNITL010091,2025-09-12,1922.0,1922.0,1922.0,1922.0,200.0
ZAE000255360,2025-09-12,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-12,6600.0,6600.0,6599.98,6600.0,7739.0
MWSTD0010041,2025-09-12,6492.87,6492.5,6489.5,6491.1,32062.0
MWSTL0010085,2025-09-12,460.02,,,460.02,0.0
MWTNM0010126,2025-09-12,34.9,35.0,34.5,34.85,607235.0
MWAIRT001156,2025-09-11,138.01,137.98,137.97,137.97,18678.0
MWBHL0010029,2025-09-11,15.01,,,15.01,0.0
MWFDHB001166,2025-09-11,599.99,600.0,599.98,599.99,118035.0
MWFMB0010138,2025-09-11,1758.41,1758.42,1758.42,1758.42,26169.0
MWICON001146,2025-09-11,17.95,,,17.95,0.0
MWILLV010032,2025-09-11,1791.44,,,1791.44,0.0
MWMPI0010116,2025-09-11,19.51,,,19.51,0.0
MWNBM0010074,2025-09-11,9426.32,9426.38,9426.38,9426.38,1043.0
MWNBS0010105,2025-09-11,1024.79,1024.77,1024.75,1024.76,1235911.0
MWNICO010014,2025-09-11,1740.01,1740.01,1740.0,1740.01,78775.0
MWNITL010091,2025-09-11,1922.0,,,1922.0,0.0
ZAE000255360,2025-09-11,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-11,6600.0,6600.0,6600.0,6600.0,11295.0
MWSTD0010041,2025-09-11,6493.41,6492.99,6492.49,6492.87,6898.0
MWSTL0010085,2025-09-11,460.02,,,460.02,0.0
MWTNM0010126,2025-09-11,35.52,34.9,34.9,34.9,11676.0
MWAIRT001156,2025-09-10,138.82,138.81,137.97,138.01,44622.0
MWBHL0010029,2025-09-10,15.01,,,15.01,0.0
MWFDHB001166,2025-09-10,607.34,600.0,599.97,599.99,214734.0
MWFMB0010138,2025-09-10,1677.07,1897.97,1750.0,1758.41,54253.0
MWICON001146,2025-09-10,17.95,17.95,17.95,17.95,109946.0
MWILLV010032,2025-09-10,1791.43,1791.45,1791.44,1791.44,10441.0
MWMPI0010116,2025-09-10,19.51,,,19.51,0.0
MWNBM0010074,2025-09-10,9426.3,9426.37,9426.3,9426.32,5837.0
MWNBS0010105,2025-09-10,1024.82,1024.82,1024.76,1024.79,258160.0
MWNICO010014,2025-09-10,1740.0,1740.02,1740.0,1740.01,80031.0
MWNITL010091,2025-09-10,1672.1,1922.0,1922.0,1922.0,5191.0
ZAE000255360,2025-09-10,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-10,6600.0,6600.0,6600.0,6600.0,1320.0
MWSTD0010041,2025-09-10,6495.43,6494.0,6493.0,6493.41,7985.0
MWSTL0010085,2025-09-10,460.02,,,460.02,0.0
MWTNM0010126,2025-09-10,35.82,35.8,34.98,35.52,146255.0
MWAIRT001156,2025-09-09,138.82,138.82,138.81,138.82,37535.0
MWBHL0010029,2025-09-09,15.01,,,15.01,0.0
MWFDHB001166,2025-09-09,609.77,607.99,606.96,607.34,677243.0
MWFMB0010138,2025-09-09,1651.85,1700.0,1650.44,1677.07,74910.0
MWICON001146,2025-09-09,17.95,17.95,17.95,17.95,590936.0
MWILLV010032,2025-09-09,1791.42,1791.44,1791.43,1791.43,675.0
MWMPI0010116,2025-09-09,19.51,,,19.51,0.0
MWNBM0010074,2025-09-09,8196.78,9426.3,9426.3,9426.3,1561.0
MWNBS0010105,2025-09-09,1024.83,1024.83,1024.81,1024.82,326252.0
MWNICO010014,2025-09-09,1739.99,1740.01,1739.99,1740.0,108721.0
MWNITL010091,2025-09-09,1672.1,1672.1,1672.1,1672.1,371.0
ZAE000255360,2025-09-09,2500.06,2500.06,2500.06,2500.06,262.0
MWPCL0010053,2025-09-09,6600.0,6600.0,6600.0,6600.0,116864.0
MWSTD0010041,2025-09-09,6496.63,6495.98,6494.0,6495.43,5430.0
MWSTL0010085,2025-09-09,460.02,,,460.02,0.0
MWTNM0010126,2025-09-09,35.88,35.85,35.8,35.82,30947.0
MWAIRT001156,2025-09-08,138.82,138.83,138.82,138.82,39647.0
MWBHL0010029,2025-09-08,15.0,15.02,15.01,15.01,65000.0
MWFDHB001166,2025-09-08,619.9,619.88,608.97,609.77,46155.0
MWFMB0010138,2025-09-08,1650.41,1750.0,1650.43,1651.85,79403.0
MWICON001146,2025-09-08,17.95,,,17.95,0.0
MWILLV010032,2025-09-08,1791.42,,,1791.42,0.0
MWMPI0010116,2025-09-08,19.51,,,19.51,0.0
MWNBM0010074,2025-09-08,8196.77,8196.78,8196.78,8196.78,4814.0
MWNBS0010105,2025-09-08,1024.86,1024.85,1024.81,1024.83,243436.0
MWNICO010014,2025-09-08,1740.0,1740.0,1739.98,1739.99,8290.0
MWNITL010091,2025-09-08,1454.01,1672.1,1672.1,1672.1,236.0
ZAE000255360,2025-09-08,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-08,6600.0,6600.0,6600.0,6600.0,10609.0
MWSTD0010041,2025-09-08,6497.47,6497.29,6495.99,6496.63,10952.0
MWSTL0010085,2025-09-08,460.02,,,460.02,0.0
MWTNM0010126,2025-09-08,35.89,35.88,35.85,35.88,153580.0
MWAIRT001156,2025-09-05,138.84,138.83,138.82,138.82,53640.0
MWBHL0010029,2025-09-05,15.0,,,15.0,0.0
MWFDHB001166,2025-09-05,619.97,619.93,619.87,619.9,133897.0
MWFMB0010138,2025-09-05,1650.4,1650.41,1650.4,1650.41,8900.0
MWICON001146,2025-09-05,17.95,17.95,17.95,17.95,42822.0
MWILLV010032,2025-09-05,1791.41,1791.42,1791.42,1791.42,1440.0
MWMPI0010116,2025-09-05,19.51,,,19.51,0.0
MWNBM0010074,2025-09-05,7919.93,8200.0,7919.95,8196.77,122414.0
MWNBS0010105,2025-09-05,1024.91,1024.89,1024.83,1024.86,296586.0
MWNICO010014,2025-09-05,1740.01,1740.0,1739.99,1740.0,106674.0
MWNITL010091,2025-09-05,1454.0,1454.01,1454.0,1454.01,33406.0
ZAE000255360,2025-09-05,2500.06,,,2500.06,0.0
MWPCL0010053,2025-09-05,6600.0,6600.0,6600.0,6600.0,3394.0
MWSTD0010041,2025-09-05,6497.78,6497.59,6497.3,6497.47,4263.0
MWSTL0010085,2025-09-05,460.02,,,460.02,0.0
MWTNM0010126,2025-09-05,35.88,35.9,35.87,35.89,1961570.0
MWAIRT001156,2025-09-04,138.68,138.85,138.82,138.84,84275.0
MWBHL0010029,2025-09-04,15.0,,,15.0,0.0
MWFDHB001166,2025-09-04,627.5,620.0,619.93,619.97,86189.0
MWFMB0010138,2025-09-04,1650.4,1650.4,1650.4,1650.4,30.0
MWICON001146,2025-09-04,17.95,17.95,17.95,17.95,6803.0
MWILLV010032,2025-09-04,1791.41,,,1791.41,0.0
MWMPI0010116,2025-09-04,19.51,,,19.51,0.0
MWNBM0010074,2025-09-04,7919.93,7919.93,7919.93,7919.93,285.0
MWNBS0010105,2025-09-04,1024.91,1024.91,1024.89,1024.91,192417.0
MWNICO010014,2025-09-04,1740.01,1740.01,1739.99,1740.01,53110.0
MWNITL010091,2025-09-04,1454.0,,,1454.0,0.0
ZAE000255360,2025-09-04,2500.06,2500.06,2500.06,2500.06,262.0
MWPCL0010053,2025-09-04,6600.0,6600.0,6600.0,6600.0,930.0
MWSTD0010041,2025-09-04,6497.85,6497.8,6497.59,6497.78,39988.0
