counter_id,ticker,name,date_listed,listing_price
MWAIRT001156,AIRTEL,AIRTEL MALAWI PLC,2020-02-24,12.69
MWBHL0010029,BHL,BLANTYRE HOTELS PLC,1997-03-25,0.84
MWFDHB001166,FDHB,FDH BANK PLC,2020-08-03,10.0
MWFMB0010138,FMBCH,FMB CAPITAL HOLDINGS PLC,2017-09-18,45.01
MWICON001146,ICON,ICON PROPERTIES PLC,2019-01-21,8.75
MWILLV010032,ILLOVO,ILLOVO SUGAR MALAWI PLC,1997-11-10,2.25
MWMPI0010116,MPICO,MPICO PLC,2007-11-12,2.25
MWNBM0010074,NBM,NATIONAL BANK OF MALAWI,2000-08-21,4.0
MWNBS0010105,NBS,NBS BANK PLC,2007-06-25,2.6
MWNICO010014,NICO,NICO HOLDINGS PLC,1996-11-11,2.0
MWNITL010091,NITL,NATIONAL INVESTMENT TRUST PLC,2005-03-21,2.65
ZAE000255360,OMU,OLD MUTUAL LIMITED,2018-06-26,1580.22
MWPCL0010053,PCL,PRESS CORPORATION PLC,2009-09-09,14.89
MWSTD0010041,STANDARD,STANDARD BANK MALAWI PLC,1998-06-29,3.25
MWSTL0010085,SUNBIRD,SUNBIRD TOURISM PLC,2002-08-21,2.6
MWTNM0010126,TNM,TELEKOM NETWORKS MALAWI PLC,2008-11-03,2.0
